accepted_date ,a_id,change_ticket,risk_level,deferred_count,acceptance_type,false_positive_state,existing_patch,owner_comments,rejection_evidence,remediation_comments,completion_date,remediation_plan,remediation_proof,approch_used,vulnerability_source,status_date,unique_id,total_nd_vis_count,total_vis_count,active_vis,active_ns_vis,task_state,task_desc,assignment_count,cve_code,asgm_group,task_id,last_update,task_creation_date,task_closed_date,asset_identifyer
8/10/2018,01BFBA40,,High,0,,,No,,,,10/26/2019,v7TNPz6U9Wrunr7FxFBMxsdFCeUD5juRWHyyzHvM,,Removal of software,Infra,10/14/2019,Oh2DIG,,,,,Resolved,FEnNi5t2ObA34cEtI7FdbGkwmW7SvwuNXRlJh3U7,0,CVE-20163427,8pTx3qW7K3,task15490,10/19/2019,8/10/2018,,asset0260
9/1/2022,6E3B1F41,,Very High,0,,,No,,,BCm9uj86es7T1hbsP5uLR7lXtIjNF2ZeoRcTT7ftW3NH0aLo6e4vWgCwjF9UiIR8VF3hwQASIZmFGji4urWsYGAz69WL4LqVRjYk,2/27/2023,JyHNZS8D7uv8QBHrTL4HsNb3CmcNghXE93eOfcTM,,Major Version Upgrade,Infra,10/13/2022,3K7qnV,,,,,Resolved,xHD77MKt43V1HnCLx328sqKknzbIO5OgqWSkQLHM,0,CVE-2018-1270,Z6HS06CNh6,task19390,12/27/2022,9/1/2022,,asset0858
8/4/2019,A1BBE2DF,,Emergency,0,,Submitted,No,,,,8/20/2021,4IsomrvViFcJp9UjGFBhFLwuur2Gsc9PtZTqB9uW,,,Infra,6/2/2020,CY5BnI,,,,,Under Investigation,W7ln6c9qbasW9POqONaSryD1vGAHh3duorXGoBFo,0,CVE-2023-4863,hiZHcNkPnc,task18912,7/18/2021,8/4/2019,,asset0878
4/1/2019,5E1151AE,,High,0,,,Yes,,,,10/31/2021,NxGxi5CGjqMMnhaOYHM0I1Qj5GH2juP5XTgcvtHS,,,Infra,3/21/2020,jEtX4Y,,,,,Closed,g28xoKIIuCqhljg9qb7JPxtbNdh33ZvbV3eFvNmp,0,No-CVE,r557OVE9gB,task17382,7/31/2021,4/1/2019,7/31/2021,asset0641
9/11/2022,3DED21F3,,Very High,0,,,No,,,,11/8/2023,qAhyg9yxO8YysXbFonVMGm0ANkOWWfWOUlwaVCu2,,,Infra,11/17/2022,HOEXsr,,,,,Resolved,IbmVUAg1vEzbDfXViHzPaydbWNTj1eiZhOxxWSqN,0,CVE-2021-44228,6rXpgryFFK,task18328,7/19/2023,9/11/2022,,asset0941
4/30/2023,ED5030CC,,Very High,0,,,No,,,,1/2/2024,N0G1eNze82FdNMUuoT5JveNc0cuFQTz1bb8MG7Sr,,Major Version Upgrade,Infra,5/7/2023,Wpsa0u,,,,,Under Investigation,mURYW1LnOj267C6cABHk1U0NZjvvF0owxOvlcBvr,0,No-CVE,jGpLrcEc8n,task18886,8/6/2023,4/30/2023,,asset0306
11/9/2019,B8A45837,,High,0,,,No,,,,7/28/2020,o5s6EnVrVC354NXrnKXrP6IN9F8EQgfHNa96vhyT,,,Infra,4/28/2020,SXXLAU,,,,,Closed,W3ISQVgPhkswUn0mTEOyJA4UpqLsxWraWLROnONu,0,No-CVE,8XHUcIeuPb,task19870,6/24/2020,11/9/2019,6/24/2020,asset0692
1/13/2019,AE674ADA,,Very High,0,,,No,,,,3/24/2023,CAf3XIzkinmGA8V08SLE6XxK0OJBS0UzdK4dvpfU,,Removal of software,Infra,6/18/2019,NWIc4G,,,,,Closed,UobpPJDCcLADNdOcqWtnff1GqUl72DGE4WwNoQAg,0,No-CVE,QhRaehjMkv,task16199,11/7/2019,1/13/2019,11/7/2019,asset0341
1/2/2020,6C413567,,Very High,0,,,No,,,,7/3/2020,rhzQ2IHYb70apWGgbgMf1vHLDxPavsLiRVf928OU,,Removal of software,Infra,6/25/2020,SSesi8,,,,,Closed,YZPpyj9EZfNkNQ9r2ciUsqX0wHq9oG8siPdJaqtx,0,CVE-2018-1270,ezjAgE0W7i,task17397,7/3/2020,1/2/2020,7/3/2020,asset0083
3/24/2023,15811244,276D16,Emergency,0,,,No,,,,6/25/2023,cFA4gq7ifpb5Jst3d6adp0oMBqwgNRJVbFRDfXd1,,Removal of software,Infra,5/31/2023,AiEuUA,,,,,In Remediation,ryuqyJmSwjN6V13KOijsdn8XLFCt6oexqZM5Ynbh,0,No-CVE,DeSvWKNmNh,task17402,6/14/2023,3/24/2023,,asset0830
9/26/2021,EFC175D9,,Emergency,0,,,No,,,,11/29/2023,OP1eOjvRqIn5GxW7Q3iDCc6CXcVVtfxivAvu1mkn,,,AppSec Assessment,8/6/2022,Zwyn9l,,,,,Closed,mFpzzuiKftfKMyREJHnrWW0XOOXmHMJzbmqEcR8v,0,No-CVE,2ykDNiMtlu,task17850,3/17/2023,9/26/2021,3/17/2023,asset0538
2/9/2021,95F5B26B,,Very High,0,,,Yes,,,,6/12/2022,mz4lqCepIKStBVH3oLJyzYk0hhGrVzskFjRMyt53,,,AppSec Assessment,4/10/2021,LUuUXp,,,,,Closed,2KSYS8WjqYyr31Oxyl8L8Nv5akzTs5tDrhq1cWEq,0,CVE-2022-42889,UEkpe6esJu,task17196,3/20/2022,2/9/2021,3/20/2022,asset0067
11/12/2019,1B76A36C,,Critiacal,0,,,No,,v5vb4IYtVvGNGO4PesDsOZNEVMzcnUkcSWchPMxiZfxEP0U72FmfjNKUeonJJZgmzs7zLjWiMg5iCkhGENR5fBj01YEhsq6B1lMG,,10/30/2022,m5yRKYgprEqKSQHI4eGQB5lrMGCvyCIAKdM8Q84R,,,Infra,7/16/2020,UEDKH1,,,,,Closed,wPCP6jfuu5vzcdfGM6kCmXKph3Zju9ZjfWCaNK3V,0,CVE-2022-42889,dQAHZBPRyS,task18449,1/14/2022,11/12/2019,1/14/2022,asset0784
1/27/2018,11B7151B,,Very High,0,,,No,,,,4/12/2019,eBWIJOfOYRlWswJ6FAxmQtqR87Es5PRbxUP0ITeP,,,Infra,2/13/2018,r3FeDg,,,,,Closed,K0XIVPTOtK8uIiFjwTYb0h6Vrxz8AKqZswDogPZU,0,CVE-2019-17571,kMmVmjujbd,task16627,8/7/2018,1/27/2018,8/7/2018,asset0828
7/16/2020,FE58872E,,Critiacal,0,,,No,,,,10/6/2020,WUNO34P30HjPOXeShSL5GwvT6uh04EHuAODT0ejs,,,Infra,9/22/2020,pYUlZ4,,,,,Closed,RdiOqs0tW1zQd0BuJzQaLqoY79rfJLmNI3HpuH3j,0,CVE-20163427,BESKJDgE2M,task15770,9/24/2020,7/16/2020,9/24/2020,asset0978
10/22/2018,3869C9CC,,High,0,,,No,,,,5/3/2020,UATVt54MSd6Yh50tSJhdZGAN84xmMMcnBdHKX6d8,,,AppSec Assessment,10/6/2019,toR8VF,,,,,Open,sEu2KLdshYverv1izRR1jDGVDoL9coa2Nz7kvgXV,0,No-CVE,8UQV8Iu58d,task19051,2/16/2020,10/22/2018,,asset0252
1/2/2020,5BA7BF24,,High,0,,,Yes,,,,2/14/2023,8OlTiIXCciZ5gXUlXa6Ry59fGGwDhJ32dTLf31zR,,,Infra,8/27/2021,dbhpej,,,,,Open,Sc9726w3Cv8Pffn9YnuTnQ3qzBkPQqgkVJ5nKzBS,0,No-CVE,iGUGKU4cTS,task19788,10/31/2022,1/2/2020,,asset0758
11/23/2021,18BE7DF0,,High,0,,,No,,,,1/17/2023,P1PU9QdtXuvSwaWtbuTidQf7oCXgzham61jMkfxO,,Major Version Upgrade,AppSec Assessment,12/9/2022,L6fqhT,,,,,Open,VTPcGoOLSFIhZ48Vq20TEjfCP10qk3RnGN94OS69,0,CVE-2019-17571,zjRAAS786k,task15505,12/25/2022,11/23/2021,,asset0063
6/14/2020,99DC09FD,,High,0,,,No,,,,7/11/2022,LAwfIIT9YKE4y3OqeDAs4fuOjJmg7nSz2ZF5V0Uh,,Major Version Upgrade,Infra,12/7/2021,PsMGE9,,,,,Closed,BsxZVk0600n86M72F1drVVcjrtjyEJ9JhXMWl0Wn,2,No-CVE,MFUouXRgdQ,task17775,12/14/2021,6/14/2020,12/14/2021,asset0400
11/7/2020,B5984AD5,,High,0,,,No,,,,4/15/2022,Bc8m5QHIc7EkcPEWOVOcIFZzaU6CiLkDB5HY5GsV,,Patching,Infra,3/16/2022,pdClU6,,,,,Closed,6O6mw4GtGxf7H83NUDqKOZaFekyLQVWFiiYn6iWy,0,No-CVE,dk27zdx8Ro,task16806,4/12/2022,11/7/2020,4/12/2022,asset0432
9/27/2019,914D4D7A,,High,0,,,No,,,,4/16/2023,MZR0lKwGgjB4YUhFOY418hk85d4TB1GmCD06pydp,,,Infra,2/21/2020,R2E9wZ,,,,,Under Investigation,wCDvyyc34WQmC8wJhKh1QnN8ggGlcWLqYpiq6h4o,0,No-CVE,WbxUV0pjpO,task18928,5/17/2020,9/27/2019,,asset0609
3/31/2022,BA56D131,,Critiacal,0,,,No,,,,9/7/2023,zuctoJaMdseJBXJ7p9kg7vwbFnV11TK4E1j7etWZ,,Removal of software,Infra,7/20/2022,2J0Ch6,,,,,Resolved,Vxk2hCi8GWwaI7O10VpeCw7H3bfB8SJmqO2XQ7e1,2,CVE-2023-44487,nVBeCuPG7T,task15737,9/5/2023,3/31/2022,,asset0793
11/4/2021,E1E7AAA3,,Critiacal,0,,,No,,,,12/12/2023,6lVpthy2URS6souegatGCawvnbyzDzzI3jpJyITt,,,Infra,4/26/2022,LST5k7,,,,,Closed,upr3KLt3jmCeuEafIyEFoG03ICOUY32Loynmagau,0,CVE-2018-1270,DZ5q81ZENY,task15213,2/27/2023,11/4/2021,2/27/2023,asset0287
7/15/2022,30E4F059,,Very High,0,,,No,,,,9/24/2022,4RrdGILYnetxsQ7HD4TrtlgHM6uACgQxCQwWSNAy,,Major Version Upgrade,AppSec Scan,8/17/2022,5OneuS,,,,,Closed,IIMVR2j27jNFcp7Xo3sT9Kvz8WkdRP8AOCgkPa3y,0,CVE-20163427,V51XR20PGA,task17530,8/19/2022,7/15/2022,8/19/2022,asset0643
4/19/2018,8F8D499A,,Emergency,0,,,No,,,,11/6/2019,kQzwYZDNZ7fd6lOC6dX7OVsdcFAq5rac9Fma2Aui,,Major Version Upgrade,Infra,8/4/2019,Mbfuq7,,,,,Under Investigation,Rx4VHzjEi6M3Oeyb7AtUYxBxlmeDO9XH3R0YG6gx,0,No-CVE,30XLKdZLmv,task15162,10/9/2019,4/19/2018,,asset0921
9/3/2023,4D10074C,,High,0,,,No,,,,10/27/2023,PxmhARFc1HNjMdHY3sDDHD4xCUYPBYiA9WphXQ9g,,,Infra,10/25/2023,GfG5vp,,,,,Open,r5LZqJywHnbbZJmEu1EYG1sK4g3O6P6QnldpjAUI,1,CVE-2023-4863,c7pWul1zwc,task18387,10/27/2023,9/3/2023,,asset0468
1/1/2019,CC0367D0,,High,0,,,No,,,,1/20/2022,Y0DiaD2HX8CGQuBkMqYjPCoUWTgzEwFYGXvqdh8J,,Removal of software,Infra,8/27/2021,BCi21I,,,,,Closed,KWCt3zSn2RdWklXJczXkByeZpCP0pGZxUB2gOJT0,0,CVE-20163427,S0m6ixNxx6,task17345,11/18/2021,1/1/2019,11/18/2021,asset0891
4/2/2023,7098A1AF,,High,0,,,No,,,,7/27/2023,K2iIli4a8FtwVYSQ7zN2Tz4HwzEQ7rAh167qqlbk,,,Infra,5/31/2023,L68wo9,,,,,Closed,BsW4N5mY51nYJs1MCdfGnbtfDFOZmmKCfgRapLXi,0,CVE-2021-44228,ryqu3BNrtc,task15506,6/26/2023,4/2/2023,6/26/2023,asset0060
11/5/2019,F21D744F,,High,0,,,No,,,,2/6/2022,lbDl7VmrJxJUuCi2Xu1N2i8NcJTVf1Qn21UrHDWJ,,Removal of software,Infra,10/19/2021,xmiAOX,,,,,Closed,5ngZxmlFbks3UdJkuMFOjlweYBpEvcKIz7lBtL5r,0,No-CVE,iV5SbMmPVe,task16649,12/21/2021,11/5/2019,12/21/2021,asset0045
10/6/2019,11D862ED,,High,0,,,No,,,,3/11/2022,UAb0gJhrHn2dDQ8RsF9uIQhzIdWavzJFQm535BAN,,,Infra,1/31/2021,io5Xf5,,,,,Closed,kIE9PJAgQOOTFVC0xks8FZCnc6PKc6B25uhxsCt4,0,CVE-2019-17571,TpB3Q5aWtA,task19890,1/9/2022,10/6/2019,1/9/2022,asset0202
12/4/2023,5CFFAB3E,,High,0,,,No,,,,12/14/2023,uc8qcq3GowUzSr2CUDiS8NHhVz1vnbKSyC0oC2YY,,,AppSec Scan,12/12/2023,hxVOr8,,,,,Open,V7z9IRXOS9z8eR72p77oBd2SXkvEc40CpFJIXk5h,2,CVE-2018-1270,aoNGZ3aqma,task18639,12/14/2023,12/4/2023,,asset0517
3/19/2023,67FB6F37,4A6BF7,Critiacal,0,,,No,,,,4/5/2023,eC66H69sWmrGkwhQ4Oupu3AYEailHky9NWmv4YXn,,,Infra,3/27/2023,KOn4v1,,,,,In Remediation,g9fUtJqiGt7i1gnkGIdXFRgYepFtGZfS3LlmLqPj,0,No-CVE,bmoSGj6hzq,task15191,3/30/2023,3/19/2023,,asset0751
11/17/2023,146C28CA,,Very High,0,,,No,,,,12/22/2023,wkWTi9QhtIBjb7w4a6hcfxxKhzFmhRZQPTKnFrKA,,,Infra,12/3/2023,yqZc9j,,,,,In Remediation,Hu00JSAJrC8nJeQwvR7S5OJFBh5f7AX9D9yT9Ss5,0,CVE-2023-4863,EfvW8h9JOD,task18305,12/8/2023,11/17/2023,,asset0367
5/31/2018,3A2D60F2,,Very High,0,,,No,,,,12/2/2018,FfSmdRrbKBFM6PkxUkWEU8zA8zTqfx4qvIfuqKDo,,Removal of software,Infra,11/15/2018,66fLEx,,,,,Open,pY2W427GRfl5yW4VdlpcPnmFNmlyRMBNBRGZHeCn,0,CVE-2018-1270,WE5ARhj6ka,task18251,11/26/2018,5/31/2018,,asset0618
3/21/2021,8F30C89F,,Very High,0,,,No,,,,9/30/2023,jSYXzehbFju8nS2luXxKmiYdvTL29KIBTygriWuU,,,AppSec Assessment,8/7/2022,GamCFt,,,,,In Remediation,OyiOUF3PtJB7pWdjSIU7077iAL3IGsn2n30rw6RG,0,CVE-2018-1270,sJVpEHn75z,task16458,12/3/2022,3/21/2021,,asset0012
4/15/2022,751B1B84,,High,0,,,No,,,,10/22/2023,vDefR5lcTaBATvBH7cQYPNsIiLKSul0uQKi4wufT,,Major Version Upgrade,Infra,9/17/2022,Dn0oeC,,,,,Closed,VPB2qEZmd4YDDPfKJ7XT6771crt7CwOkItYPPiI8,0,CVE-2022-42889,KYgcSxvkpx,task17237,2/19/2023,4/15/2022,2/19/2023,asset0103
7/23/2023,2423EB95,,Very High,0,,,No,,,,7/29/2023,mAKvrOjLlzoV410nUIlxbSLB1lUZF2QV5iWwozax,,,Infra,7/28/2023,H3BZFg,,,,,In Remediation,TMiPsWCmMAPxDMzFQgOBXM306lM9wvCEyncRFXSq,0,CVE-2023-4863,lnagHGmnva,task15255,7/29/2023,7/23/2023,,asset0832
10/28/2018,E1AC6F33,,High,0,,,No,,,,2/14/2022,xI6orvQaOhrl0ESRDyOGiDuOxwmDZp0t3T5unItk,,,Infra,4/19/2021,ABRsEG,,,,,In Remediation,HG4WSG5ml1pQvIMjgaVoTfZJgI67lOn0ukv8Zin3,0,CVE-2018-1270,TT00kv5rxu,task19578,12/5/2021,10/28/2018,,asset0727
10/8/2021,BFAAF816,,Emergency,0,,,No,,,,5/29/2023,2OPkKiaFauJPZF1wRncif2qqdwQr5BTQp5J9JmUs,,,Infra,2/6/2022,ACqKKT,,,,,Closed,XcGTvoOX4zl3Z8D4cMTz7GEI14cqupix0HmfsEWH,0,CVE-2021-44228,jNhXpvBhCO,task17819,11/5/2022,10/8/2021,11/5/2022,asset0771
11/24/2022,0CC493B0,,High,0,,,No,,,,6/25/2023,Ne5MOvCuDvRLGoNwDLwJlRYVkhWsqSClv46prBgb,,,Infra,1/9/2023,6TY2S0,,,,,Under Investigation,aqO79hlvdTg1fxKtlTwEAIEUnvfX2GCnPsvLp1CP,2,CVE-2023-44487,IF5U12iluh,task18114,2/2/2023,11/24/2022,,asset0633
3/14/2022,E0BEB7B1,,Very High,0,,,No,,,,12/2/2023,EGfb7rdzc29seltxF40YEJzDyLxa4BC6i282rKCj,,,Infra,3/14/2022,s7Em5a,,,,,Resolved,2USbylon8yKgsJw5Rt50HXLfIdIapPeva11tth2c,0,CVE-2021-44228,rWoBeRwD0U,task17352,12/25/2022,3/14/2022,,asset0169
4/21/2021,D61DFA57,,High,0,,,No,,,,10/19/2022,NcgMThZMsWiehPAVWgx7iJO4vQc5hrLAflO0IcSm,,,AppSec Scan,5/21/2022,xirGJJ,,,,,Under Investigation,RIXPi0RIF21QYmNhThl4Um7OTDygs6fsrKYSJ07n,0,No-CVE,0BZ32C4Y1k,task18996,10/1/2022,4/21/2021,,asset0053
5/31/2021,35151BCC,,Very High,0,,,No,,,,6/6/2021,SZ9Ouv2lvESu7i5LyC7mzH7bLqoOsRCaIbGAaYNX,,Removal of software,Infra,6/2/2021,i3jgbq,,,,,Closed,rZgnmGtSNHvMLogE21vOdamrwn7pyF78WIqR4plI,0,CVE-2021-44228,7bl3yMD65h,task16270,6/3/2021,5/31/2021,6/3/2021,asset0210
8/8/2021,A7E02EF9,,Very High,0,,,No,,,,11/10/2021,ivMmZjBn7YbhXJQqwnyvPz148asSq9VlZODIr4zH,,Removal of software,Infra,10/20/2021,2iDKmE,,,,,Open,r38KLyWizWqWlIVElb57axOGGkctz9l0wX4T9EwW,2,CVE-2019-17571,yESgHDmi5t,task18241,10/21/2021,8/8/2021,,asset0207
2/10/2018,3B63BF7C,,High,0,,,No,,,,7/17/2023,Dy39Aje9SafgohW2slPIP2pCIozvcfaCNwU7tmRQ,,Patching,Infra,6/12/2022,XqcvzC,,,,,Under Investigation,hcDB1XlHZxRdUVsBIwtN7UbKVlSV8JWelNBRr6Zr,0,CVE-20163427,Q6wGvLHrSx,task18891,12/10/2022,2/10/2018,,asset0198
6/16/2022,4383BE8C,A71570,Very High,0,oxJWH7ML,,No,,,,8/29/2023,n2CBu6jDosNZNzmblRo30tPr13xpQetb7HfpaTMh,,Major Version Upgrade,Infra,10/8/2022,DOYTyX,,,,,Open,UwHhIGnhhpohtTQkQwpjsUVOLIe0Y3XHQZHqdLTQ,0,CVE-2021-44228,FWxAMhdXeT,task15052,1/12/2023,6/16/2022,,asset0661
8/27/2023,9AAB87A6,,Critiacal,0,,,No,,,,12/7/2023,HvosgIN73dFko61lQWonRYxfgcVwYxkTVGrMGbjd,,,Infra,9/1/2023,Ai1sLL,,,,,Closed,TkkLyxAptwtEQotRZ1yYABWA3VyhIVJ2ctz82G9o,0,CVE-2022-42889,hvXNBCRnry,task19108,10/18/2023,8/27/2023,10/18/2023,asset0095
10/21/2021,11483FC6,,High,0,,,No,,,,12/21/2021,FJI74BpODtn4WkCFNTyMAVQmZkcPgjHDfAYRZkUf,,,Infra,10/31/2021,HZhN3z,,,,,Closed,vwyvDYeYEKBiQdDd3pOu8oBGKFlzsImu9RAS66p2,0,No-CVE,YZVBLIE1Ff,task19900,11/14/2021,10/21/2021,11/14/2021,asset0337
8/6/2022,5E6543A5,,High,0,,,No,,,,1/29/2023,1qoaUZXME8SBcqf0wT1yA6VaNsqzCR2lXeSW7JMh,,,AppSec Assessment,12/4/2022,gGvfmL,,,,,Closed,3mnErPXoJVOLSzSDtbykNh4mgkZSgXY29Uc8FL6v,0,CVE-2023-4863,XQHZRsCyI3,task18566,1/27/2023,8/6/2022,1/27/2023,asset0126
1/5/2020,C860C855,,Very High,0,,,No,,,,10/5/2023,cPllAxSIanoYH1R3DtNX6oJ3MRuT9aKJbSMEG3pH,,Removal of software,AppSec Scan,4/26/2020,SdbYrr,,,,,Closed,p1Qe9vVyWynhLt0IYXyDNGDXaEMU4w3ckd9W4tpo,0,CVE-2021-44228,oY3HUcSvyh,task16162,1/30/2022,1/5/2020,1/30/2022,asset0799
8/7/2019,D5E2ED18,,High,0,,,No,,,,4/5/2022,t8svJqnt7RpNR1Vgdv8c9AW0SDaMbZCUSvd1tvGg,,,Infra,10/9/2021,hxuiVB,,,,,Resolved,eMvLwhqUyRgl2DvOhIrd3RVEztdy74tM0HFd3VnD,0,CVE-2019-17571,wossVF2pyQ,task18945,11/9/2021,8/7/2019,,asset0429
2/13/2021,0214F7BF,,High,0,,,No,,,,5/8/2021,dCFGhABJSK8VGIJSmfpSK6DY3irf3trTZGbMsndF,,Major Version Upgrade,AppSec Assessment,2/27/2021,N8fmr0,,,,,Under Investigation,SzKqWbUdsHH48lSt9R6pui4No87DAT38bvZYXSQP,0,CVE-2018-1270,dpJ1CDlfA3,task18358,3/8/2021,2/13/2021,,asset0214
9/12/2022,A7771BF6,,High,0,,,No,,,,1/23/2023,Ik8GHy09Xi05X6BZnIE0Otl3FSAKxhr4EbNSDC2F,,,Infra,1/4/2023,jgapBy,,,,,Open,IfQhMshx8BYi8soXl0Qi3IiqjP6s7RPhsqBW6xu9,0,No-CVE,Xv2OL8yPxC,task19714,1/11/2023,9/12/2022,,asset0246
7/12/2022,78761536,,Very High,0,,,No,,,,10/1/2022,bDA408F3QDJ6CLTMZIWy1qxn3PLFwpwdsJj6dMyJ,,,Infra,7/13/2022,46KTdk,,,,,Open,P2pr289pthIcMsRjnrCZ3DqEoHLWI22HByjp0E4N,0,CVE-2021-44228,HUgs2MZH6I,task15269,8/12/2022,7/12/2022,,asset0248
10/18/2018,F62DA747,,Critiacal,0,,,No,,,,11/21/2020,DMO39rzzQh1e046ke8f5TeCM2NX3dL3JVwQVSBqM,,,Infra,2/19/2020,XW3TRi,,,,,Open,141jNQmBTcV8Dex65M3hYYoki8S6JgSH2iwUzy9V,0,No-CVE,paEfN1iS3p,task15824,7/4/2020,10/18/2018,,asset0891
5/15/2022,46649397,,Emergency,0,,,No,,,,11/19/2023,gqsXSGKsp7kjnwWeqbFvvHYZrAwK3ydYsvkKqJnk,,Removal of software,AppSec Scan,2/27/2023,m8KjR3,,,,,Open,XIj2mXEuxLaIdZj0Avudga7YPfh4qmLQue4PBbDc,0,No-CVE,M9vQp11oV6,task17488,5/4/2023,5/15/2022,,asset0669
3/10/2020,6B9BAE14,,High,0,,,No,,,,1/16/2021,bu9rDBVSLKgJrL9z4sppTljETwIl0YukPScqsYWq,,Removal of software,AppSec Scan,12/12/2020,HGX8Yx,,,,,Closed,y3wNETEi387MW51Pq2xG2rdRArpf5t6PLU6qdMt2,0,No-CVE,Qhm1ATO9Lo,task18888,12/27/2020,3/10/2020,12/27/2020,asset0015
6/25/2023,760F6EAA,,Very High,0,,,No,,,,10/2/2023,TMuD3rHPU85fsyY3Hx1WvnlLTQ0PO8LcwbJ9L6Jy,,,Infra,7/2/2023,1HD2rT,,,,,Closed,QOfPX5xeigFBgahVSOQtYTR8ALd0pro15qllvABR,1,CVE-20163427,lRKq6FGFV7,task19461,8/17/2023,6/25/2023,8/17/2023,asset0200
7/9/2023,96C122ED,,Very High,0,,,No,,,,9/19/2023,a1YNzTA74ZfAmVycMqpD1CfuASFxHocCVVbQqrX9,,,Infra,8/4/2023,04QGNZ,,,,,Closed,1vLde37DpFWEtOCOTbEdpTXsmDe0dIV2UwM4wVBG,0,CVE-2019-17571,khvJh2NuWC,task17761,8/23/2023,7/9/2023,8/23/2023,asset0921
