uniq_id,retire_date,record,crit,bus_process,fcc_group_id,fcc_group,prot_type,db_bus_approver,db_tech_approver,app_platform,lto_one,lto_two,lto_three,lto_four,lto_five,model_asset,npi_type,data_cetner,recovery_group,shared_service,mant_all,mant_first,mant_fourth,mant_done,mant_none,mant_other,mant_secound,deplot_date,asset_id,asset_status,asset_type,bhs_classifcation,bhs_rationale,bhisomess_facing,confidental_info,cots_product,critcal_facing,crown_jewel,version,goverance_rating,desc,maint_desc,eu_path,expected_yr,expeced_qtr,exteranl_facing,hamp,info_class,is_platform,l1_grp,l1.5_grp,l2_grp,l3_grp,locatal_resiliance,location,mait_days,mait_frq,mait_time,confidental_npi,other_lang,passing_data,platform_type,primary_language,production_date,recover_cap,recover_rpo,recover_cap_rtc,recover_time_hours,retirement_start,retirement_target,shared_system,software_name,sox_relevane,tech_prot,maint_thrid,vender_name,bus_capability,aws_version,cloud_date,asset_rate,data_id,research_asset,vender_name_other,sox_date,business_id,retirement_start,business_justification,recovery_proprty,critiacal_cyber,cloud_only,prem_only,enterprise_bu,lowest_rpo,lowest_rto,data_approch,subrec
id000012,12/18/2021,,Low,,884S3193R30267XS,599U2475L78415PM,,204J3304W36187XH,743F7723D69809DC,Wintel Desktop,2/15/2022,10/7/2019,1/28/2024,3/22/2020,1/29/2020,No,Yes,,Group 3,Critiical Shared Service,,,,,TRUE,FALSE,FALSE,8/31/2019,asset0012,Retired,Utiltiy,Sell,Set to be retired,No,No,Yes,No,No,7.00,High,KJ72,DS47,\\path\assets\asset0012,,,No,No,Confidential-Restricted,False ,PD60,BF51,SR45,GS84,Urbon A,Physically Hosted,Friday-Monday,Monthly,8:00 PM,No,Javascript,Yes,,Net,10/18/2022,,50:00:00,,250,,,Fasle,147N8956F84977SR,No,Lender and Servicing Tech,Fasle,,,,,,,,,,,,,,,,,,,,,
id000013,9/27/2018,,Low,,692B2254E24792ZM,387N9776C51354JM,,467A3290R99441VS,119U2445U34350FG,IBM,9/24/2024,11/14/2018,1/8/2020,10/1/2023,6/10/2020,Yes,No,,Group 2,Shared Service Direct,,,,12:00 AM,FALSE,TRUE,TRUE,8/17/2024,asset0013,Deployed,Application,Hold to Kepp,Under Use,Yes,No,No,No,No,8.00,Medium,QL50,AP76,\\path\assets\asset0013,,,No,Yes,Confidential-Restricted,False ,IS63,IJ85,IF56,WS22,Out of Region,,Friday-Monday,Weekly,5:00 AM,Yes,XML,Yes,,Java,5/21/2020,,24,,75,,,Fasle,301Y7287C33534ZK,Yes,End User Support,Fasle,,,,,,,,,,,,,,,,,,,,,
id000014,12/18/2021,,Low,,477O6110U16708MV,493S8643B28833YI,,270Q7153T89784FO,810V2513C31690PW,Wintel Server,4/13/2023,9/30/2018,4/23/2023,7/1/2022,12/5/2018,No,Yes,,,Shared Service Direct,,,,5:00 PM,FALSE,FALSE,TRUE,3/6/2018,asset0014,Deployed,EUC,Sell,Set to be retired,Yes,No,No,No,Yes,8.00,Medium,NB97,UD61,\\path\assets\asset0014,,,No,No,Confidential-Highly-Restricted,False ,FO35,RQ13,GJ20,FR86,Urbon B,,Friday,Weekly,12:00 AM,No,Javascript,No,,SAS,9/10/2020,,48,,96,,,True,837W2321X63896IG,No,Credit Loss Mgt,Fasle,,,Unknoen,,,,,,,,,,,,,,,,,,
id000015,4/15/2023,,Low,,540S9087T14831SO,779B7030M79865WL,,879X5461K57188KL,782H6810T30814DA,Linux,5/22/2019,10/28/2019,2/18/2018,8/13/2019,10/15/2019,No,Yes,,Group 2,Critiical Shared Service,,,,12:00 AM,TRUE,FALSE,FALSE,3/23/2023,asset0015,Deployed,EUC,Sell,Set to be retired,No,Yes,Yes,Yes,No,8.00,Medium,QC88,HV94,\\path\assets\asset0015,,,Yes,Yes,Confidential-Internal-Distribition,False ,WV60,KW95,QF44,HT59,Urbon B,Physically Hosted,Saturday-Sunday,Bi-monthly,8:00 PM,Yes,MS Sharepoint,Yes,,SAS,10/13/2020,,24:00:00,,96,,,True,353V9421Z40010FV,No,End User Support,Fasle,,Loss Mitigation Management,,,,,,,,,,,,,,,,,,,
id000016,9/19/2021,,High,,516N5987O53757HQ,398Y9179P95003QY,,831N1995O86965ML,915Y9481R64143OO,Linux,8/11/2020,5/18/2023,10/19/2020,5/12/2020,9/18/2019,Yes,Yes,Urbana A,Group 3,,,,,12:00 AM,TRUE,TRUE,TRUE,1/2/2024,asset0016,Retired,EUC,Sell,Set to be retired,Yes,No,No,Yes,Yes,9.00,Low,ZK11,SS33,\\path\assets\asset0016,,,No,Yes,Confidential-Highly-Restricted,False ,NS59,BS19,SN94,GF26,Urbon B,,Saturday,Monthly,5:00 AM,Yes,Javascript,No,,Java,2/4/2021,,50,,121,,,True,996X1460B44098TA,No,Other,Fasle,,,Unknoen,,,,,,,,,,,,,,,,,,
id000017,4/20/2019,,Medium,,737Q1569F92825AE,924U2878J83852WW,,473N1273E23562SV,342G9746E45648RY,Wintel Server,1/1/2018,12/6/2023,4/16/2018,2/12/2023,4/16/2018,Yes,Yes,,Group 3,Critiical Shared Service,,,,,TRUE,FALSE,FALSE,11/9/2020,asset0017,Deployed,Application,Hold to Kepp,Under Use,Yes,No,No,Yes,No,8.00,Low,JO45,YK95,\\path\assets\asset0017,,,Yes,No,Confidential-Highly-Restricted,False ,XI18,MX91,RR80,XG52,Urbon B,,Saturday-Sunday,,,Yes,XML,Yes,,C++,12/30/2022,,24,,96,,,Fasle,325V3548G30157VS,No,Other,Fasle,,,,,,,,,,,,,,,,,,,,,
id000018,1/4/2021,,Medium,,573T7156Q14324NX,200D4917O97257DX,,195Q6749V24453VE,555R3964F18158BG,Wintel Desktop,11/4/2020,7/10/2019,1/1/2020,10/30/2023,12/20/2021,Yes,No,Urbana A,Group 0,Critiical Shared Service,,,,,FALSE,FALSE,TRUE,3/28/2018,asset0018,Retired,Application,Hold to Kepp,Under Use,Yes,Yes,No,Yes,No,9.00,High,IF85,UW40,\\path\assets\asset0018,,,Yes,No,Confidential-Restricted,False ,DQ88,SI88,YH32,YT66,Urbon B,Physically Hosted,,Bi-monthly,9:00 PM,Yes,MS Sharepoint,No,,C++,3/18/2018,,50:00:00,,48,,,True,858J3189C26836WE,Yes,Credit Loss Mgt,Fasle,,Data & Information Management,Unknoen,,,,,,,,,,,,,,,,,,
id000019,6/7/2019,,High,,198K7900Y39027ON,880T6886H59014DV,,586U2009F52267VL,507K9209U30230YB,IBM,8/26/2019,12/6/2021,9/22/2018,2/23/2022,8/30/2020,Yes,Yes,Urbana A,Group 2,Critiical Shared Service,,,,,FALSE,FALSE,TRUE,2/18/2021,asset0019,Retired,Application,Sell,Set to be retired,Yes,No,Yes,No,No,9.00,Low,DV44,CK92,\\path\assets\asset0019,,,Yes,Yes,Confidential-Highly-Restricted,False ,EE12,IU90,TV82,HN74,Urbon B,,Friday-Monday,Weekly,9:00 PM,No,Javascript,Yes,,Java,7/13/2021,,50,,48,,,Fasle,127I3747U15941MF,No,Enterprise Data,Fasle,,,,,,,,,,,,,,,,,,,,,
id000020,9/7/2021,,High,,393M4088L67973KL,689D6459L76510FF,,459C4025N46019US,638P5054A11827XB,IBM,9/5/2018,10/3/2019,8/23/2018,5/11/2020,2/11/2019,No,Yes,Urbana A,Group 0,Shared Service Direct,,,,5:00 PM,FALSE,FALSE,FALSE,7/9/2024,asset0020,Deployed,Utiltiy,Sell,Set to be retired,No,Yes,No,Yes,No,9.00,High,PQ70,DF99,\\path\assets\asset0020,,,No,No,Confidential-Internal-Distribition,False ,QE72,EN21,IG67,TN59,Urbon A,,Saturday,,,Yes,MS Sharepoint,No,,SQL,2/4/2023,,24:00:00,,48,,,Fasle,210B9821T60724FR,No,M&A,Fasle,,Risk Management,,,,,,,,,,,,,,,,,,,
id000021,10/12/2020,,Medium,,982L1667Z39560KW,882Z4557V47620YH,,405F4872P83360LH,486X1977C67172WU,Wintel Server,5/2/2021,6/5/2020,12/25/2022,8/15/2019,4/16/2018,No,Yes,Urbana A,Group 1,Critiical Shared Service,,,,,TRUE,TRUE,FALSE,5/9/2022,asset0021,Deployed,Utiltiy,Hold to Kepp,Under Use,No,Yes,Yes,No,Yes,9.00,Low,AJ78,QK61,\\path\assets\asset0021,,,No,No,Confidential-Highly-Restricted,False ,NX92,PX61,SH41,UI22,RTP,Physically Hosted,Sunday,Bi-monthly,8:00 PM,No,,Yes,,Java,3/25/2018,,24,,96,,,Fasle,593O4912B80537MO,No,Other,Fasle,,,,,,,,,,,,,,,,,,,,,
id000022,11/23/2019,,Medium,,652B9024N46173EO,621X3375X27156LQ,,606T6122X80433JK,576I4767G27947YC,IBM,12/23/2022,12/7/2023,8/15/2019,1/15/2018,1/29/2020,No,Yes,,Group 2,,,,,12:00 AM,FALSE,FALSE,TRUE,1/10/2024,asset0022,Retired,EUC,Hold to Kepp,Under Use,No,Yes,Yes,Yes,Yes,9.00,High,OW65,RB40,\\path\assets\asset0022,,,Yes,No,Confidential-Restricted,False ,XN85,QP17,GD16,HD79,RTP,,Friday-Monday,Bi-monthly,5:00 AM,Yes,MS Sharepoint,No,,,12/25/2023,,24,,48,,,Fasle,915Z2222F99693OT,Yes,Infrastucture,Fasle,,Data & Information Management,,,,,,,,,,,,,,,,,,,
id000023,11/7/2021,,Medium,,176U7145B36989HL,656O7192U73377TB,,124Y4115P53717JD,897N6828N70701EQ,Wintel Desktop,6/13/2018,6/23/2022,12/3/2020,1/25/2019,6/20/2023,No,Yes,Urbana A,Group 3,Shared Service Direct,,,,,FALSE,TRUE,FALSE,2/22/2021,asset0023,Deployed,EUC,Sell,Set to be retired,Yes,No,Yes,No,Yes,8.00,Low,VI88,FD79,\\path\assets\asset0023,,,No,Yes,Confidential-Highly-Restricted,False ,XK90,HP24,XQ77,ZR23,Urbon A,,Friday,Weekly,5:00 AM,No,MS Excell,Yes,,SAS,6/21/2018,,24,,121,,,Fasle,237Y6583J28992RY,Yes,Enterprise Data,Fasle,,,Unknoen,,,,,,,,,,,,,,,,,,
id000024,5/15/2018,,High,,744O8911E42165SE,235K4658P24969DR,,798V7932K18754QC,614U2629N20486OJ,Wintel Server,5/10/2018,12/28/2022,6/13/2023,1/15/2019,7/18/2019,Yes,Yes,Urbana A,Group 3,Shared Service Direct,,,,12:00 AM,TRUE,TRUE,FALSE,12/1/2024,asset0024,Deployed,EUC,Hold to Kepp,Under Use,Yes,No,No,No,Yes,7.00,Medium,DK42,ID95,\\path\assets\asset0024,,,No,Yes,Confidential-Internal-Distribition,False ,ZD60,WU38,VD18,WU92,,Physically Hosted,Saturday-Sunday,,,Yes,Javascript,No,,Net,8/17/2021,,50,,48,,,True,441R4266L49242NC,No,Enterprise Data,Fasle,,Disclosure Management,,,,,,,,,,,,,,,,,,,
id000025,5/18/2022,,Medium,,415W3847H80998SP,933C2941T99595EB,,248K7834B89740AG,964X7445K22123JP,IBM,12/1/2023,1/4/2024,7/5/2023,2/27/2020,4/21/2022,Yes,No,,Group 1,Shared Service Direct,,,,12:00 AM,FALSE,FALSE,TRUE,11/23/2022,asset0025,Deployed,Utiltiy,Hold to Kepp,Under Use,No,Yes,No,No,No,7.00,Medium,WM42,TY30,\\path\assets\asset0025,,,No,Yes,Confidential-Restricted,False ,XX77,SF93,VQ93,EI77,,,Sunday,,,No,XML,No,,C++,12/12/2019,,50:00:00,,96,,,True,472A8300B29024II,No,Other,Fasle,,Risk Management,,,,,,,,,,,,,,,,,,,
id000026,4/20/2018,,Medium,,253R3221P83834AQ,967B4322M58525CR,,480T6402W27160WS,269N4457K52004VN,Linux,9/18/2022,10/31/2018,1/22/2023,9/9/2020,5/15/2019,Yes,Yes,Urbana A,,Critiical Shared Service,,,,5:00 PM,FALSE,FALSE,FALSE,7/5/2021,asset0026,Deployed,EUC,Sell,Set to be retired,Yes,Yes,Yes,Yes,No,7.00,High,JH87,AH85,\\path\assets\asset0026,,,Yes,Yes,Confidential-Internal-Distribition,False ,WI60,AE45,DF53,XC60,Urbon B,Physically Hosted,Sunday,Monthly,12:00 AM,Yes,MS Excell,Yes,,MS Acess,11/18/2023,,120:00:00,,48,,,Fasle,519U3968Y70134ZH,No,Infrastucture,Fasle,,Risk Management,Unknoen,,,,,,,,,,,,,,,,,,
id000027,10/18/2023,,Low,,220Z2883K47817BO,278Z6418T88721LU,,777Z5788V73632AQ,428B2023O56100GA,IBM,4/8/2021,4/11/2020,1/10/2020,6/7/2018,9/20/2022,Yes,No,,Group 0,Critiical Shared Service,,,,5:00 PM,FALSE,FALSE,FALSE,9/22/2022,asset0027,Deployed,EUC,Sell,Set to be retired,Yes,No,No,No,No,8.00,High,SY14,QT47,\\path\assets\asset0027,,,Yes,Yes,Confidential-Internal-Distribition,False ,IW21,MW22,LN93,ME49,Urbon B,,Saturday-Sunday,Weekly,12:00 AM,No,XML,No,,VB,3/24/2019,,50,,48,,,Fasle,384C7628H21407HH,Yes,Enterprise Data,Fasle,,,,,,,,,,,,,,,,,,,,,
id000028,12/12/2018,,High,,521Y1012X39156TY,452H1712P68749JJ,,614X9378A42927TO,250X6337Q60416UU,Wintel Server,7/19/2022,4/19/2019,8/17/2022,9/12/2021,7/18/2019,Yes,No,Urbana A,Group 2,Shared Service Direct,,,,12:00 AM,TRUE,TRUE,FALSE,2/7/2020,asset0028,Retired,Application,Hold to Kepp,Under Use,No,Yes,Yes,No,No,9.00,Medium,JF44,OQ54,\\path\assets\asset0028,,,Yes,No,Confidential-Highly-Restricted,False ,LY26,YS98,IJ40,XK36,Urbon B,,Saturday-Sunday,Monthly,8:00 PM,No,,Yes,,Java,11/3/2023,,48,,121,,,True,287E5702G67826IB,No,Enterprise Data,Fasle,,Disclosure Management,,,,,,,,,,,,,,,,,,,
id000029,1/1/2021,,Medium,,236U5369K39784VP,512X6041R51341DC,,778Q6143G45886LK,418Y8603M58564ZJ,Wintel Server,12/16/2024,1/30/2018,8/10/2019,9/10/2021,3/31/2020,Yes,No,Urbana A,Group 1,Critiical Shared Service,,,,5:00 PM,FALSE,TRUE,TRUE,3/6/2018,asset0029,Deployed,Utiltiy,Hold to Kepp,Under Use,Yes,No,No,Yes,No,9.00,Medium,UU85,TV17,\\path\assets\asset0029,,,No,No,Confidential-Highly-Restricted,False ,VQ90,WK78,PS38,EX17,Urbon A,Physically Hosted,Friday-Monday,Bi-monthly,12:00 AM,No,XML,Yes,,Javascript,2/18/2019,,48,,121,,,Fasle,856J8506J58879GW,Yes,M&A,Fasle,,,Unknoen,,,,,,,,,,,,,,,,,,
id000030,2/26/2018,,High,,221P4605G56280QE,758N4875N73857DK,,527P7298T75665BM,885N2808H43501IM,IBM,12/17/2024,12/19/2022,7/2/2020,5/9/2021,8/21/2023,Yes,No,,Group 0,,,,,,TRUE,FALSE,TRUE,7/26/2018,asset0030,Retired,Application,Hold to Kepp,Under Use,Yes,Yes,Yes,Yes,Yes,7.00,High,HB50,LM80,\\path\assets\asset0030,,,No,No,Confidential-Highly-Restricted,False ,PV47,CJ30,EX68,LM12,,Physically Hosted,Saturday,Monthly,8:00 PM,Yes,Javascript,No,,SQL,9/12/2023,,24:00:00,,250,,,Fasle,549W2105D54315FZ,No,End User Support,Fasle,,Data & Information Management,Unknoen,,,,,,,,,,,,,,,,,,
id000031,10/4/2020,,Medium,,786V1906J24605HE,177E5685E40308EF,,919D8204O18791CN,878N8403O97538VK,Wintel Server,4/19/2020,6/17/2019,1/2/2022,2/10/2019,3/27/2020,No,Yes,,Group 0,Critiical Shared Service,,,,5:00 PM,FALSE,TRUE,FALSE,1/12/2024,asset0031,Deployed,Application,Sell,Set to be retired,No,Yes,Yes,No,Yes,8.00,Medium,HP10,OS91,\\path\assets\asset0031,,,Yes,Yes,Confidential-Restricted,False ,OY12,IX17,PW84,BM77,Urbon A,Physically Hosted,Saturday-Sunday,Weekly,5:00 AM,Yes,Javascript,No,,VB,1/10/2018,,48,,48,,,True,205R1093Q93083XN,Yes,Technology Services,Fasle,,Data & Information Management,,,,,,,,,,,,,,,,,,,
id000032,4/10/2020,,Medium,,435Y9059C62771BB,623C5757E24865ZO,,209R3615C58717RR,606J8967I27530QH,Wintel Server,1/20/2024,10/18/2019,3/16/2020,12/31/2019,4/18/2021,No,No,,Group 3,Shared Service Direct,,,,,TRUE,TRUE,TRUE,8/15/2022,asset0032,Retired,Application,Sell,Set to be retired,No,No,No,Yes,No,9.00,Medium,BI32,CR55,\\path\assets\asset0032,,,No,No,Confidential-Highly-Restricted,False ,LC75,NK78,NV43,QW57,Out of Region,Physically Hosted,Friday,,,No,MS Excell,No,,Javascript,9/17/2020,,50,,75,,,Fasle,272C1694A36978EB,No,Enterprise Data,Fasle,,,,,,,,,,,,,,,,,,,,,
id000033,6/28/2023,,Low,,372X9065F83304TW,639B9335C18794FI,,385N4402G36556MP,700U9423B28054ML,Linux,12/27/2022,6/26/2019,7/10/2022,5/22/2020,1/21/2020,Yes,Yes,,Group 3,Shared Service Direct,,,,12:00 AM,FALSE,FALSE,TRUE,5/8/2021,asset0033,Deployed,Exteranl Data,Hold to Kepp,Under Use,Yes,No,Yes,Yes,Yes,9.00,Low,GP26,JX23,\\path\assets\asset0033,,,Yes,No,Confidential-Internal-Distribition,False ,BC81,QI67,MD95,QF26,RTP,Physically Hosted,,Weekly,12:00 AM,No,MS Excell,Yes,,SQL,10/11/2021,,48,,250,,,True,799L8187P84697LK,Yes,Capital Markets,Fasle,,Data & Information Management,Unknoen,,,,,,,,,,,,,,,,,,
id000034,7/29/2021,,High,,626G3625V40423UE,809H7646H21034FS,,744O5254I43422OL,552T9998G25573DW,IBM,3/31/2024,2/3/2020,11/17/2022,8/25/2021,5/28/2022,Yes,Yes,Urbana A,,Critiical Shared Service,,,,12:00 AM,FALSE,FALSE,FALSE,7/21/2019,asset0034,Deployed,Utiltiy,Hold to Kepp,Under Use,Yes,No,No,No,Yes,7.00,High,LG31,NO98,\\path\assets\asset0034,,,No,Yes,Confidential-Restricted,False ,LG58,HV30,PD26,WR61,,,Friday,Bi-monthly,9:00 PM,Yes,,Yes,,Net,3/24/2020,,24,,48,,,True,540T8345M84772UN,No,SF Analytics,Fasle,,,,,,,,,,,,,,,,,,,,,
